NEWID,FINCATAX
1010714,0
1010755,30150
1010774,2833
1010794,10410
1010804,9054
1010814,43062
1010824,115049
1010834,6546
1010874,0
1010884,19336
1010904,40108
1010914,33876
1010924,57774
1010944,48492
1010984,38525
1010994,21936
1011004,6500
1011014,16160
1011024,-27061
1011044,26229
1011054,200
1011064,84358
1011074,26500
1011084,39190
1011094,149000
1011104,29594
1011124,18108
1011134,0
1011144,15052
1011154,10950
1011174,0
1011194,0
1011204,5127
1011224,28881
1011244,30265
1011254,15796
1011264,58192
1011274,0
1011284,546
1011315,18000
1011324,22707
1011344,35994
1011354,0
1011394,27300
1011414,14274
1011434,5064
1011444,2047
1011454,7326
1011464,20292
1011474,94800
1011494,-9305
1011504,31336
1011554,0
1011574,1092
1011584,115000
1011594,2500
1011604,33000
1011614,546
1011624,31590
1011634,10422
1011644,27073
1011655,29630
1011664,35442
1011674,0
1011684,133940
1011694,99400
1011704,29700
1011714,28727
1011725,546
1011734,29528
1011744,0
1011754,63272
1011784,0
1011794,11346
1011814,2634
1011824,20800
1011834,15492
1011844,19500
1011854,80605
1011864,7402
1011874,70640
1011894,65885
1011934,55949
1011944,79753
1011964,8600
1011974,130979
1011984,5777
1012004,125000
1012014,7266
1012044,118340
1012054,38782
1012064,69284
1012074,0
1012084,37750
1012104,9896
1012114,42196
1012124,0
1012144,38524
1012154,28360
1012164,546
1012184,6574
1012194,20000
1012214,0
1012224,9320
1012234,11850
1012244,13160
1012254,0
1012264,52078
1012284,0
1012294,12846
1012304,-916
1012314,0
1012334,53174
1012344,69512
1012364,15246
1012374,60267
1012384,20534
1012404,1092
1012464,44700
1012474,36000
1012494,44580
1012504,147900
1012514,49540
1012534,30520
1012554,72645
1012564,10000
1012574,19208
1012584,15492
1012594,15415
1012605,10876
1012614,0
1012634,0
1012644,0
1012654,19709
1012665,15862
1012674,96600
1012694,1364
1012704,77790
1012714,14070
1012754,6735
1012764,0
1012774,94600
1012784,14364
1012794,50000
1012824,8646
1012834,0
1012844,50850
1012854,40700
1012884,89480
1012894,7927
1012904,0
1012914,83000
1012964,25000
1012994,72999
1013004,174300
1013024,34417
1013044,13401
1013054,8217
1013064,43842
1013074,6786
1013094,150000
1013114,84930
1013134,7500
1013144,-1200
1013184,0
1013214,72000
1013224,0
1013244,58212
1013264,44613
1013275,15698
1013284,5992
1013295,13372
1013314,71860
1013324,36942
1013334,77000
1013344,0
1013354,66350
1013384,31605
1013394,12632
1013424,57202
1013434,546
1013444,546
1013454,0
1013465,24000
1013504,31936
1013524,7986
1013534,48831
1013544,0
1013554,41760
1013575,75685
1013594,60900
1013634,25050
1013644,190600
1013654,73800
1013664,13374
1013674,22303
1013684,0
1013694,0
1013704,0
1013714,11147
1013744,21955
1013754,20000
1013764,700
1013774,38580
1013804,8500
1013814,9342
1013834,17946
1013854,546
1013864,55000
1013874,49592
1013884,57420
1013895,41080
1013904,17500
1013914,26800
1013924,-1340
1013934,6120
1013964,22650
1013984,-12
1014024,46196
1014034,28000
1014044,0
1014054,25000
1014064,68298
1014074,10434
1014084,20998
1014104,95134
1014114,13592
1014124,44378
1014134,21576
1014154,42980
1014164,6546
1014174,1092
1014205,20676
1014214,8550
1014234,52000
1014244,23906
1014264,14720
1014274,67350
1014284,46220
1014295,0
1014304,33275
1014324,10746
1014334,96072
1014354,48100
1014364,50760
1014374,58714
1014394,13916
1014414,3555
1014425,13746
1014454,66348
1014464,30150
1014484,23686
1014505,11430
1014514,8070
1014524,92800
1014534,84760
1014544,54850
1014554,90000
1014564,73855
1014594,0
1014614,26946
1014624,-790
1014644,88900
1014654,546
1014694,19788
1014704,43467
1014714,52000
1014734,61646
1014754,0
1014764,6126
1014784,46095
1014814,18975
1014824,2800
1014834,151850
1014844,14568
1014854,14869
1014874,24400
1014884,114601
1014904,6100
1014915,0
1014924,35000
1014945,0
1014954,16520
1014965,17025
1014975,38200
1014994,6140
1015004,9434
1015034,48751
1015044,40977
1015054,37700
1015064,54919
1015074,54921
1015104,0
1015124,26082
1015144,44300
1015164,0
1015174,74203
1015184,8400
1015204,20244
1015214,25460
1015224,546
1015234,0
1015244,73000
1015254,0
1015264,21543
1015294,21920
1015304,18876
1015314,8330
1015344,13708
1015384,0
1015404,34652
1015414,0
1015424,30400
1015434,12546
1015444,0
1015464,0
1015474,0
1015484,78983
1015494,4800
1015544,0
1015554,30000
1015564,23752
1015574,0
1015584,25140
1015594,6155
1015614,0
1015624,47656
1015634,16388
1015644,29200
1015654,23336
1015674,11700
1015684,113110
1015694,0
1015704,63200
1015724,63269
1015734,546
1015754,68300
1015764,7746
1015774,36000
1015804,13700
1015814,90141
1015824,1242
1015845,19368
1015854,6547
1015875,25000
1015884,525
1015894,24400
1015904,17333
1015914,39493
1015924,19026
1015934,29252
1015944,1092
1015964,51064
1015984,0
1015995,45000
1016034,16338
1016045,50000
1016054,149400
1016064,546
1016104,36350
1016114,0
1016124,7692
1016134,24669
1016144,134962
1016164,85000
1016174,59794
1016214,37568
1016224,100000
1016234,35508
1016244,42314
1016254,33500
1016264,96661
1016275,0
1016284,118000
1016294,14766
1016304,21345
1016324,19380
1016344,0
1016354,0
1016365,27492
1016374,20370
1016384,0
1016404,-6244
1016435,546
1016454,0
1016475,0
1016484,-84
1016495,110407
1016504,10000
1016514,37061
1016524,0
1016554,17680
1016565,21363
1016584,6766
1016594,48013
1016624,58530
1016635,19815
1016644,0
1016664,53747
1016674,262535
1016684,0
1016695,0
1016724,14000
1016734,33746
1016745,59535
1016755,23914
1016774,32000
1016794,546
1016804,29348
1016814,4771
1016824,53050
1016834,98439
1016844,0
1016854,570
1016874,34450
1016884,3591
1016894,17756
1016915,0
1016924,90975
1016944,7696
1016964,0
1016984,0
1016994,10146
1017005,12066
1017014,73224
1017024,15230
1017064,8497
1017084,9112
1017094,11944
1017104,41000
1017134,80500
1017144,11947
1017154,15444
1017164,0
1017174,12785
1017184,23850
1017204,17206
1017214,18914
1017224,44507
1017244,73296
1017254,63946
1017264,546
1017294,20608
1017305,19092
1017314,37509
1017324,1397
1017344,0
1017354,48999
1017374,11590
1017394,37616
1017414,37746
1017425,10098
1017434,91000
1017454,32580
1017465,43224
1017474,0
1017484,10928
1017494,13575
1017504,61629
1017514,5746
1017524,36000
1017534,546
1017545,6583
1017564,65015
1017584,86200
1017594,24733
1017604,64806
1017614,7380
1017624,800
1017634,61646
1017654,17706
1017704,11730
1017714,7577
1017725,19200
1017734,52820
1017744,43744
1017764,30564
1017774,30286
1017814,55500
1017844,40000
1017864,13210
1017874,0
1017884,38995
1017894,13308
1017904,0
1017914,104000
1017924,0
1017934,10648
1017944,86000
1017964,31904
1017974,94519
1017984,66335
1017994,59568
1018004,0
1018024,4868
1018034,7488
1018044,32546
1018055,546
